id_articulo,Seccion,Nombre,Precio,Fecha,Importado,PaisOrigen
1,Electrónica,Auriculares Bluetooth,25.99,2025-03-04,Si,China
42,Juguetes,Lego Star Wars,49.99,2025-03-04,No,Dinamarca
43,Hogar,Cafetera Automática,89.99,2025-03-04,No,Italia
8,Ropa,Zapato9s Deportivoas,79.99,2025-03-04,Sí,Vietnam.
45,Alimentación,Chocolate Negro 85%,3.99,2025-03-04,No,Suiza
46,Electrónica,Tablet 10 pulgadas,199.99,2025-03-04,Sí,China
47,Juguetes,Muñeca Interactiva,35.5,2025-03-04,No,España
48,Hogar,Aspiradora Inteligente,159.99,2025-03-04,Sí,Alemania
49,Ropa,Chaqueta Impermeable,79.99,2025-03-04,Sí,Canadá
50,Alimentación,Café Molido Premium,14.99,2025-03-04,No,Colombia
51,Electrónica,Smartwatch Deportivo,99.99,2025-03-04,Sí,Corea del Sur
52,Juguetes,Camión de Bomberos,22.99,2025-03-04,No,México
17,Hogar,Lámpara de escritorio,35.5,2025-03-04,No,Suecia
54,Ropa,Pantalón Vaquero,39.99,2025-03-04,Sí,Italia
55,Alimentación,Miel Orgánica,7.99,2025-03-04,No,Argentina
56,Electrónica,Teclado Mecánico RGB,129.99,2025-03-04,Sí,Taiwán
14,Juguetes,Rompecabezas 1000pcs,17.5,2025-03-04,No,Francia
58,Hogar,Juego de Toallas de Algodón,24.99,2025-03-04,No,Portugal
59,Ropa,Gorra de Beisbol,15.99,2025-03-04,Sí,Brasil
60,Alimentación,Pasta Integral,2.99,2025-03-04,No,Italia
